Time	Node	Type	Packets	
12	1	CacheMisses	0
12	2	CacheHits	0
12	2	CacheMisses	1
12	3	CacheHits	0
12	3	CacheMisses	0
12	4	CacheHits	0
12	4	CacheMisses	0
12	5	CacheHits	0
12	5	CacheMisses	1
12	6	CacheHits	0
12	6	CacheMisses	1
12	7	CacheHits	0
12	7	CacheMisses	1
12	8	CacheHits	0
12	8	CacheMisses	1
13	0	CacheHits	0
13	0	CacheMisses	0
13	1	CacheHits	0
13	1	CacheMisses	0
13	2	CacheHits	0
13	2	CacheMisses	1
13	3	CacheHits	0
13	3	CacheMisses	0
13	4	CacheHits	0
13	4	CacheMisses	0
13	5	CacheHits	0
13	5	CacheMisses	1
13	6	CacheHits	0
13	6	CacheMisses	1
13	7	CacheHits	0
13	7	CacheMisses	1
13	8	CacheHits	0
13	8	CacheMisses	1
14	0	CacheHits	0
14	0	CacheMisses	0
14	1	CacheHits	0
14	1	CacheMisses	0
14	2	CacheHits	0
14	2	CacheMisses	1
14	3	CacheHits	0
14	3	CacheMisses	0
14	4	CacheHits	0
14	4	CacheMisses	0
14	5	CacheHits	0
14	5	CacheMisses	1
14	6	CacheHits	0
14	6	CacheMisses	1
14	7	CacheHits	0
14	7	CacheMisses	1
14	8	CacheHits	0
14	8	CacheMisses	1
15	0	CacheHits	0
15	0	CacheMisses	0
15	1	CacheHits	0
15	1	CacheMisses	0
15	2	CacheHits	0
15	2	CacheMisses	1
15	3	CacheHits	0
15	3	CacheMisses	0
15	4	CacheHits	0
15	4	CacheMisses	0
15	5	CacheHits	0
15	5	CacheMisses	1
15	6	CacheHits	0
15	6	CacheMisses	1
15	7	CacheHits	0
15	7	CacheMisses	1
15	8	CacheHits	0
15	8	CacheMisses	1
16	0	CacheHits	0
16	0	CacheMisses	0
16	1	CacheHits	0
16	1	CacheMisses	0
16	2	CacheHits	0
16	2	CacheMisses	1
16	3	CacheHits	0
16	3	CacheMisses	0
16	4	CacheHits	0
16	4	CacheMisses	0
16	5	CacheHits	0
16	5	CacheMisses	1
16	6	CacheHits	0
16	6	CacheMisses	1
16	7	CacheHits	0
16	7	CacheMisses	1
16	8	CacheHits	0
16	8	CacheMisses	1
17	0	CacheHits	0
17	0	CacheMisses	0
17	1	CacheHits	0
17	1	CacheMisses	0
17	2	CacheHits	0
17	2	CacheMisses	1
17	3	CacheHits	0
17	3	CacheMisses	0
17	4	CacheHits	0
17	4	CacheMisses	0
17	5	CacheHits	0
17	5	CacheMisses	1
17	6	CacheHits	0
17	6	CacheMisses	1
17	7	CacheHits	0
17	7	CacheMisses	1
17	8	CacheHits	0
17	8	CacheMisses	1
18	0	CacheHits	0
18	0	CacheMisses	0
18	1	CacheHits	0
18	1	CacheMisses	0
18	2	CacheHits	0
18	2	CacheMisses	1
18	3	CacheHits	0
18	3	CacheMisses	0
18	4	CacheHits	0
18	4	CacheMisses	0
18	5	CacheHits	0
18	5	CacheMisses	1
18	6	CacheHits	0
18	6	CacheMisses	1
18	7	CacheHits	0
18	7	CacheMisses	1
18	8	CacheHits	0
18	8	CacheMisses	1
19	0	CacheHits	0
19	0	CacheMisses	0
19	1	CacheHits	0
19	1	CacheMisses	0
19	2	CacheHits	0
19	2	CacheMisses	1
19	3	CacheHits	0
19	3	CacheMisses	0
19	4	CacheHits	0
19	4	CacheMisses	0
19	5	CacheHits	0
19	5	CacheMisses	1
19	6	CacheHits	0
19	6	CacheMisses	1
19	7	CacheHits	0
19	7	CacheMisses	1
19	8	CacheHits	0
19	8	CacheMisses	1
20	0	CacheHits	0
20	0	CacheMisses	0
20	1	CacheHits	0
20	1	CacheMisses	0
20	2	CacheHits	0
20	2	CacheMisses	1
20	3	CacheHits	0
20	3	CacheMisses	0
20	4	CacheHits	0
20	4	CacheMisses	0
20	5	CacheHits	0
20	5	CacheMisses	1
20	6	CacheHits	0
20	6	CacheMisses	1
20	7	CacheHits	0
20	7	CacheMisses	1
20	8	CacheHits	0
20	8	CacheMisses	1
21	0	CacheHits	0
21	0	CacheMisses	0
21	1	CacheHits	0
21	1	CacheMisses	0
21	2	CacheHits	0
21	2	CacheMisses	1
21	3	CacheHits	0
21	3	CacheMisses	0
21	4	CacheHits	0
21	4	CacheMisses	0
21	5	CacheHits	0
21	5	CacheMisses	1
21	6	CacheHits	0
21	6	CacheMisses	1
21	7	CacheHits	0
21	7	CacheMisses	1
21	8	CacheHits	0
21	8	CacheMisses	1
22	0	CacheHits	0
22	0	CacheMisses	0
22	1	CacheHits	0
22	1	CacheMisses	0
22	2	CacheHits	0
22	2	CacheMisses	1
22	3	CacheHits	0
22	3	CacheMisses	0
22	4	CacheHits	0
22	4	CacheMisses	0
22	5	CacheHits	0
22	5	CacheMisses	1
22	6	CacheHits	0
22	6	CacheMisses	1
22	7	CacheHits	0
22	7	CacheMisses	1
22	8	CacheHits	0
22	8	CacheMisses	1
23	0	CacheHits	0
23	0	CacheMisses	0
23	1	CacheHits	0
23	1	CacheMisses	0
23	2	CacheHits	0
23	2	CacheMisses	1
23	3	CacheHits	0
23	3	CacheMisses	0
23	4	CacheHits	0
23	4	CacheMisses	0
23	5	CacheHits	0
23	5	CacheMisses	1
23	6	CacheHits	0
23	6	CacheMisses	1
23	7	CacheHits	0
23	7	CacheMisses	1
23	8	CacheHits	0
23	8	CacheMisses	1
24	0	CacheHits	0
24	0	CacheMisses	0
24	1	CacheHits	0
24	1	CacheMisses	0
24	2	CacheHits	0
24	2	CacheMisses	1
24	3	CacheHits	0
24	3	CacheMisses	0
24	4	CacheHits	0
24	4	CacheMisses	0
24	5	CacheHits	0
24	5	CacheMisses	1
24	6	CacheHits	0
24	6	CacheMisses	1
24	7	CacheHits	0
24	7	CacheMisses	1
24	8	CacheHits	0
24	8	CacheMisses	1
25	0	CacheHits	0
25	0	CacheMisses	0
25	1	CacheHits	0
25	1	CacheMisses	0
25	2	CacheHits	0
25	2	CacheMisses	1
25	3	CacheHits	0
25	3	CacheMisses	0
25	4	CacheHits	0
25	4	CacheMisses	0
25	5	CacheHits	0
25	5	CacheMisses	1
25	6	CacheHits	0
25	6	CacheMisses	1
25	7	CacheHits	0
25	7	CacheMisses	1
25	8	CacheHits	0
25	8	CacheMisses	1
26	0	CacheHits	0
26	0	CacheMisses	0
26	1	CacheHits	0
26	1	CacheMisses	0
26	2	CacheHits	0
26	2	CacheMisses	1
26	3	CacheHits	0
26	3	CacheMisses	0
26	4	CacheHits	0
26	4	CacheMisses	0
26	5	CacheHits	0
26	5	CacheMisses	1
26	6	CacheHits	0
26	6	CacheMisses	1
26	7	CacheHits	0
26	7	CacheMisses	1
26	8	CacheHits	0
26	8	CacheMisses	1
27	0	CacheHits	0
27	0	CacheMisses	0
27	1	CacheHits	0
27	1	CacheMisses	0
27	2	CacheHits	0
27	2	CacheMisses	1
27	3	CacheHits	0
27	3	CacheMisses	0
27	4	CacheHits	0
27	4	CacheMisses	0
27	5	CacheHits	0
27	5	CacheMisses	1
27	6	CacheHits	0
27	6	CacheMisses	1
27	7	CacheHits	0
27	7	CacheMisses	1
27	8	CacheHits	0
27	8	CacheMisses	1
28	0	CacheHits	0
28	0	CacheMisses	0
28	1	CacheHits	0
28	1	CacheMisses	0
28	2	CacheHits	0
28	2	CacheMisses	1
28	3	CacheHits	0
28	3	CacheMisses	0
28	4	CacheHits	0
28	4	CacheMisses	0
28	5	CacheHits	0
28	5	CacheMisses	1
28	6	CacheHits	0
28	6	CacheMisses	1
28	7	CacheHits	0
28	7	CacheMisses	1
28	8	CacheHits	0
28	8	CacheMisses	1
29	0	CacheHits	0
29	0	CacheMisses	0
29	1	CacheHits	0
29	1	CacheMisses	0
29	2	CacheHits	0
29	2	CacheMisses	1
29	3	CacheHits	0
29	3	CacheMisses	0
29	4	CacheHits	0
29	4	CacheMisses	0
29	5	CacheHits	0
29	5	CacheMisses	1
29	6	CacheHits	0
29	6	CacheMisses	1
29	7	CacheHits	0
29	7	CacheMisses	1
29	8	CacheHits	0
29	8	CacheMisses	1
30	0	CacheHits	0
30	0	CacheMisses	0
30	1	CacheHits	0
30	1	CacheMisses	0
30	2	CacheHits	0
30	2	CacheMisses	1
30	3	CacheHits	0
30	3	CacheMisses	0
30	4	CacheHits	0
30	4	CacheMisses	0
30	5	CacheHits	0
30	5	CacheMisses	1
30	6	CacheHits	0
30	6	CacheMisses	1
30	7	CacheHits	0
30	7	CacheMisses	1
30	8	CacheHits	0
30	8	CacheMisses	1
31	0	CacheHits	0
31	0	CacheMisses	0
31	1	CacheHits	0
31	1	CacheMisses	0
31	2	CacheHits	0
31	2	CacheMisses	1
31	3	CacheHits	0
31	3	CacheMisses	0
31	4	CacheHits	0
31	4	CacheMisses	0
31	5	CacheHits	0
31	5	CacheMisses	1
31	6	CacheHits	0
31	6	CacheMisses	1
31	7	CacheHits	0
31	7	CacheMisses	1
31	8	CacheHits	0
31	8	CacheMisses	1
32	0	CacheHits	0
32	0	CacheMisses	0
32	1	CacheHits	0
32	1	CacheMisses	0
32	2	CacheHits	0
32	2	CacheMisses	1
32	3	CacheHits	0
32	3	CacheMisses	0
32	4	CacheHits	0
32	4	CacheMisses	0
32	5	CacheHits	0
32	5	CacheMisses	1
32	6	CacheHits	0
32	6	CacheMisses	1
32	7	CacheHits	0
32	7	CacheMisses	1
32	8	CacheHits	0
32	8	CacheMisses	1
33	0	CacheHits	0
33	0	CacheMisses	0
33	1	CacheHits	0
33	1	CacheMisses	0
33	2	CacheHits	0
33	2	CacheMisses	1
33	3	CacheHits	0
33	3	CacheMisses	0
33	4	CacheHits	0
33	4	CacheMisses	0
33	5	CacheHits	0
33	5	CacheMisses	1
33	6	CacheHits	0
33	6	CacheMisses	1
33	7	CacheHits	0
33	7	CacheMisses	1
33	8	CacheHits	0
33	8	CacheMisses	1
34	0	CacheHits	0
34	0	CacheMisses	0
34	1	CacheHits	0
34	1	CacheMisses	0
34	2	CacheHits	0
34	2	CacheMisses	1
34	3	CacheHits	0
34	3	CacheMisses	0
34	4	CacheHits	0
34	4	CacheMisses	0
34	5	CacheHits	0
34	5	CacheMisses	1
34	6	CacheHits	0
34	6	CacheMisses	1
34	7	CacheHits	0
34	7	CacheMisses	1
34	8	CacheHits	0
34	8	CacheMisses	1
35	0	CacheHits	0
35	0	CacheMisses	0
35	1	CacheHits	0
35	1	CacheMisses	0
35	2	CacheHits	0
35	2	CacheMisses	1
35	3	CacheHits	0
35	3	CacheMisses	0
35	4	CacheHits	0
35	4	CacheMisses	0
35	5	CacheHits	0
35	5	CacheMisses	1
35	6	CacheHits	0
35	6	CacheMisses	1
35	7	CacheHits	0
35	7	CacheMisses	1
35	8	CacheHits	0
35	8	CacheMisses	1
36	0	CacheHits	0
36	0	CacheMisses	0
36	1	CacheHits	0
36	1	CacheMisses	0
36	2	CacheHits	0
36	2	CacheMisses	1
36	3	CacheHits	0
36	3	CacheMisses	0
36	4	CacheHits	0
36	4	CacheMisses	0
36	5	CacheHits	0
36	5	CacheMisses	1
36	6	CacheHits	0
36	6	CacheMisses	1
36	7	CacheHits	0
36	7	CacheMisses	1
36	8	CacheHits	0
36	8	CacheMisses	1
37	0	CacheHits	0
37	0	CacheMisses	0
37	1	CacheHits	0
37	1	CacheMisses	0
37	2	CacheHits	0
37	2	CacheMisses	1
37	3	CacheHits	0
37	3	CacheMisses	0
37	4	CacheHits	0
37	4	CacheMisses	0
37	5	CacheHits	0
37	5	CacheMisses	1
37	6	CacheHits	0
37	6	CacheMisses	1
37	7	CacheHits	0
37	7	CacheMisses	1
37	8	CacheHits	0
37	8	CacheMisses	1
38	0	CacheHits	0
38	0	CacheMisses	0
38	1	CacheHits	0
38	1	CacheMisses	0
38	2	CacheHits	0
38	2	CacheMisses	1
38	3	CacheHits	0
38	3	CacheMisses	0
38	4	CacheHits	0
38	4	CacheMisses	0
38	5	CacheHits	0
38	5	CacheMisses	1
38	6	CacheHits	0
38	6	CacheMisses	1
38	7	CacheHits	0
38	7	CacheMisses	1
38	8	CacheHits	0
38	8	CacheMisses	1
39	0	CacheHits	0
39	0	CacheMisses	0
39	1	CacheHits	0
39	1	CacheMisses	0
39	2	CacheHits	0
39	2	CacheMisses	1
39	3	CacheHits	0
39	3	CacheMisses	0
39	4	CacheHits	0
39	4	CacheMisses	0
39	5	CacheHits	0
39	5	CacheMisses	1
39	6	CacheHits	0
39	6	CacheMisses	1
39	7	CacheHits	0
39	7	CacheMisses	1
39	8	CacheHits	0
39	8	CacheMisses	1
40	0	CacheHits	0
40	0	CacheMisses	0
40	1	CacheHits	0
40	1	CacheMisses	0
40	2	CacheHits	0
40	2	CacheMisses	1
40	3	CacheHits	0
40	3	CacheMisses	0
40	4	CacheHits	0
40	4	CacheMisses	0
40	5	CacheHits	0
40	5	CacheMisses	1
40	6	CacheHits	0
40	6	CacheMisses	1
40	7	CacheHits	0
40	7	CacheMisses	1
40	8	CacheHits	0
40	8	CacheMisses	1
41	0	CacheHits	0
41	0	CacheMisses	0
41	1	CacheHits	0
41	1	CacheMisses	0
41	2	CacheHits	0
41	2	CacheMisses	1
41	3	CacheHits	0
41	3	CacheMisses	0
41	4	CacheHits	0
41	4	CacheMisses	0
41	5	CacheHits	0
41	5	CacheMisses	1
41	6	CacheHits	0
41	6	CacheMisses	1
41	7	CacheHits	0
41	7	CacheMisses	1
41	8	CacheHits	0
41	8	CacheMisses	1
42	0	CacheHits	0
42	0	CacheMisses	0
42	1	CacheHits	0
42	1	CacheMisses	0
42	2	CacheHits	0
42	2	CacheMisses	1
42	3	CacheHits	0
42	3	CacheMisses	0
42	4	CacheHits	0
42	4	CacheMisses	0
42	5	CacheHits	0
42	5	CacheMisses	1
42	6	CacheHits	0
42	6	CacheMisses	1
42	7	CacheHits	0
42	7	CacheMisses	1
42	8	CacheHits	0
42	8	CacheMisses	1
43	0	CacheHits	0
43	0	CacheMisses	0
43	1	CacheHits	0
43	1	CacheMisses	0
43	2	CacheHits	0
43	2	CacheMisses	1
43	3	CacheHits	0
43	3	CacheMisses	0
43	4	CacheHits	0
43	4	CacheMisses	0
43	5	CacheHits	0
43	5	CacheMisses	1
43	6	CacheHits	0
43	6	CacheMisses	1
43	7	CacheHits	0
43	7	CacheMisses	1
43	8	CacheHits	0
43	8	CacheMisses	1
44	0	CacheHits	0
44	0	CacheMisses	0
44	1	CacheHits	0
44	1	CacheMisses	0
44	2	CacheHits	0
44	2	CacheMisses	1
44	3	CacheHits	0
44	3	CacheMisses	0
44	4	CacheHits	0
44	4	CacheMisses	0
44	5	CacheHits	0
44	5	CacheMisses	1
44	6	CacheHits	0
44	6	CacheMisses	1
44	7	CacheHits	0
44	7	CacheMisses	1
44	8	CacheHits	0
44	8	CacheMisses	1
45	0	CacheHits	0
45	0	CacheMisses	0
45	1	CacheHits	0
45	1	CacheMisses	0
45	2	CacheHits	0
45	2	CacheMisses	1
45	3	CacheHits	0
45	3	CacheMisses	0
45	4	CacheHits	0
45	4	CacheMisses	0
45	5	CacheHits	0
45	5	CacheMisses	1
45	6	CacheHits	0
45	6	CacheMisses	1
45	7	CacheHits	0
45	7	CacheMisses	1
45	8	CacheHits	0
45	8	CacheMisses	1
46	0	CacheHits	0
46	0	CacheMisses	0
46	1	CacheHits	0
46	1	CacheMisses	0
46	2	CacheHits	0
46	2	CacheMisses	1
46	3	CacheHits	0
46	3	CacheMisses	0
46	4	CacheHits	0
46	4	CacheMisses	0
46	5	CacheHits	0
46	5	CacheMisses	1
46	6	CacheHits	0
46	6	CacheMisses	1
46	7	CacheHits	0
46	7	CacheMisses	1
46	8	CacheHits	0
46	8	CacheMisses	1
47	0	CacheHits	0
47	0	CacheMisses	0
47	1	CacheHits	0
47	1	CacheMisses	0
47	2	CacheHits	0
47	2	CacheMisses	1
47	3	CacheHits	0
47	3	CacheMisses	0
47	4	CacheHits	0
47	4	CacheMisses	0
47	5	CacheHits	0
47	5	CacheMisses	1
47	6	CacheHits	0
47	6	CacheMisses	1
47	7	CacheHits	0
47	7	CacheMisses	1
47	8	CacheHits	0
47	8	CacheMisses	1
48	0	CacheHits	0
48	0	CacheMisses	0
48	1	CacheHits	0
48	1	CacheMisses	0
48	2	CacheHits	0
48	2	CacheMisses	1
48	3	CacheHits	0
48	3	CacheMisses	0
48	4	CacheHits	0
48	4	CacheMisses	0
48	5	CacheHits	0
48	5	CacheMisses	1
48	6	CacheHits	0
48	6	CacheMisses	1
48	7	CacheHits	0
48	7	CacheMisses	1
48	8	CacheHits	0
48	8	CacheMisses	1
49	0	CacheHits	0
49	0	CacheMisses	0
49	1	CacheHits	0
49	1	CacheMisses	0
49	2	CacheHits	0
49	2	CacheMisses	1
49	3	CacheHits	0
49	3	CacheMisses	0
49	4	CacheHits	0
49	4	CacheMisses	0
49	5	CacheHits	0
49	5	CacheMisses	1
49	6	CacheHits	0
49	6	CacheMisses	1
49	7	CacheHits	0
49	7	CacheMisses	1
49	8	CacheHits	0
49	8	CacheMisses	1
50	0	CacheHits	0
50	0	CacheMisses	0
50	1	CacheHits	0
50	1	CacheMisses	0
50	2	CacheHits	0
50	2	CacheMisses	1
50	3	CacheHits	0
50	3	CacheMisses	0
50	4	CacheHits	0
50	4	CacheMisses	0
50	5	CacheHits	0
50	5	CacheMisses	1
50	6	CacheHits	0
50	6	CacheMisses	1
50	7	CacheHits	0
50	7	CacheMisses	1
50	8	CacheHits	0
50	8	CacheMisses	1
51	0	CacheHits	0
51	0	CacheMisses	0
51	1	CacheHits	0
51	1	CacheMisses	0
51	2	CacheHits	0
51	2	CacheMisses	1
51	3	CacheHits	0
51	3	CacheMisses	0
51	4	CacheHits	0
51	4	CacheMisses	0
51	5	CacheHits	0
51	5	CacheMisses	1
51	6	CacheHits	0
51	6	CacheMisses	1
51	7	CacheHits	0
51	7	CacheMisses	1
51	8	CacheHits	0
51	8	CacheMisses	1
52	0	CacheHits	0
52	0	CacheMisses	0
52	1	CacheHits	0
52	1	CacheMisses	0
52	2	CacheHits	0
52	2	CacheMisses	1
52	3	CacheHits	0
52	3	CacheMisses	0
52	4	CacheHits	0
52	4	CacheMisses	0
52	5	CacheHits	0
52	5	CacheMisses	1
52	6	CacheHits	0
52	6	CacheMisses	1
52	7	CacheHits	0
52	7	CacheMisses	1
52	8	CacheHits	0
52	8	CacheMisses	1
53	0	CacheHits	0
53	0	CacheMisses	0
53	1	CacheHits	0
53	1	CacheMisses	0
53	2	CacheHits	0
53	2	CacheMisses	1
53	3	CacheHits	0
53	3	CacheMisses	0
53	4	CacheHits	0
53	4	CacheMisses	0
53	5	CacheHits	0
53	5	CacheMisses	1
53	6	CacheHits	0
53	6	CacheMisses	1
53	7	CacheHits	0
53	7	CacheMisses	1
53	8	CacheHits	0
53	8	CacheMisses	1
54	0	CacheHits	0
54	0	CacheMisses	0
54	1	CacheHits	0
54	1	CacheMisses	0
54	2	CacheHits	0
54	2	CacheMisses	1
54	3	CacheHits	0
54	3	CacheMisses	0
54	4	CacheHits	0
54	4	CacheMisses	0
54	5	CacheHits	0
54	5	CacheMisses	1
54	6	CacheHits	0
54	6	CacheMisses	1
54	7	CacheHits	0
54	7	CacheMisses	1
54	8	CacheHits	0
54	8	CacheMisses	1
55	0	CacheHits	0
55	0	CacheMisses	0
55	1	CacheHits	0
55	1	CacheMisses	0
55	2	CacheHits	0
55	2	CacheMisses	1
55	3	CacheHits	0
55	3	CacheMisses	0
55	4	CacheHits	0
55	4	CacheMisses	0
55	5	CacheHits	0
55	5	CacheMisses	1
55	6	CacheHits	0
55	6	CacheMisses	1
55	7	CacheHits	0
55	7	CacheMisses	1
55	8	CacheHits	0
55	8	CacheMisses	1
56	0	CacheHits	0
56	0	CacheMisses	0
56	1	CacheHits	0
56	1	CacheMisses	0
56	2	CacheHits	0
56	2	CacheMisses	1
56	3	CacheHits	0
56	3	CacheMisses	0
56	4	CacheHits	0
56	4	CacheMisses	0
56	5	CacheHits	0
56	5	CacheMisses	1
56	6	CacheHits	0
56	6	CacheMisses	1
56	7	CacheHits	0
56	7	CacheMisses	1
56	8	CacheHits	0
56	8	CacheMisses	1
57	0	CacheHits	0
57	0	CacheMisses	0
57	1	CacheHits	0
57	1	CacheMisses	0
57	2	CacheHits	0
57	2	CacheMisses	1
57	3	CacheHits	0
57	3	CacheMisses	0
57	4	CacheHits	0
57	4	CacheMisses	0
57	5	CacheHits	0
57	5	CacheMisses	1
57	6	CacheHits	0
57	6	CacheMisses	1
57	7	CacheHits	0
57	7	CacheMisses	1
57	8	CacheHits	0
57	8	CacheMisses	1
58	0	CacheHits	0
58	0	CacheMisses	0
58	1	CacheHits	0
58	1	CacheMisses	0
58	2	CacheHits	0
58	2	CacheMisses	1
58	3	CacheHits	0
58	3	CacheMisses	0
58	4	CacheHits	0
58	4	CacheMisses	0
58	5	CacheHits	0
58	5	CacheMisses	1
58	6	CacheHits	0
58	6	CacheMisses	1
58	7	CacheHits	0
58	7	CacheMisses	1
58	8	CacheHits	0
58	8	CacheMisses	1
59	0	CacheHits	0
59	0	CacheMisses	0
59	1	CacheHits	0
59	1	CacheMisses	0
59	2	CacheHits	0
59	2	CacheMisses	1
59	3	CacheHits	0
59	3	CacheMisses	0
59	4	CacheHits	0
59	4	CacheMisses	0
59	5	CacheHits	0
59	5	CacheMisses	1
59	6	CacheHits	0
59	6	CacheMisses	1
59	7	CacheHits	0
59	7	CacheMisses	1
59	8	CacheHits	0
59	8	CacheMisses	1
60	0	CacheHits	0
60	0	CacheMisses	0
60	1	CacheHits	0
60	1	CacheMisses	0
60	2	CacheHits	0
60	2	CacheMisses	1
60	3	CacheHits	0
60	3	CacheMisses	0
60	4	CacheHits	0
60	4	CacheMisses	0
60	5	CacheHits	0
60	5	CacheMisses	1
60	6	CacheHits	0
60	6	CacheMisses	1
60	7	CacheHits	0
60	7	CacheMisses	1
60	8	CacheHits	0
60	8	CacheMisses	1
61	0	CacheHits	0
61	0	CacheMisses	0
61	1	CacheHits	0
61	1	CacheMisses	0
61	2	CacheHits	0
61	2	CacheMisses	1
61	3	CacheHits	0
61	3	CacheMisses	0
61	4	CacheHits	0
61	4	CacheMisses	0
61	5	CacheHits	0
61	5	CacheMisses	1
61	6	CacheHits	0
61	6	CacheMisses	1
61	7	CacheHits	0
61	7	CacheMisses	1
61	8	CacheHits	0
61	8	CacheMisses	1
62	0	CacheHits	0
62	0	CacheMisses	0
62	1	CacheHits	0
62	1	CacheMisses	0
62	2	CacheHits	0
62	2	CacheMisses	1
62	3	CacheHits	0
62	3	CacheMisses	0
62	4	CacheHits	0
62	4	CacheMisses	0
62	5	CacheHits	0
62	5	CacheMisses	1
62	6	CacheHits	0
62	6	CacheMisses	1
62	7	CacheHits	0
62	7	CacheMisses	1
62	8	CacheHits	0
62	8	CacheMisses	1
63	0	CacheHits	0
